types,LocationAbbr,LocationDesc,LocationID,Topic,TopicID,YearStart,YearEnd,StratificationCategoryID1,StratificationID1,Question,QuestionID,DataValueType,DataValueTypeID,DataValueUnit,LowConfidenceLimit,HighConfidenceLimit,DataValueAlt,HospitalNumber,Population,predict_value
Incidence,AK,Alaska,2,Alcohol,ALC,2011,2011,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,6.2,8.7,7.4,11,733406,8.6
Incidence,AK,Alaska,2,Alcohol,ALC,2012,2012,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,5.6,7.8,6.6,11,733406,8.6
Incidence,AK,Alaska,2,Alcohol,ALC,2013,2013,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,7.1,9.5,8.2,11,733406,8.6
Incidence,AK,Alaska,2,Alcohol,ALC,2014,2014,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,7.7,10.1,8.8,11,733406,8.6
Incidence,AK,Alaska,2,Alcohol,ALC,2015,2015,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,7,10.4,8.6,11,733406,8.6
Incidence,AK,Alaska,2,Alcohol,ALC,2016,2016,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,4.9,7.4,6.1,11,733406,8.6
Incidence,AK,Alaska,2,Alcohol,ALC,2017,2017,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,6.9,10.3,8.4,11,733406,8.6
Incidence,AK,Alaska,2,Alcohol,ALC,2018,2018,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,5.9,9.1,7.3,11,733406,8.6
Incidence,AK,Alaska,2,Alcohol,ALC,2019,2019,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,6.6,9.4,7.9,11,733406,8.6
Incidence,AK,Alaska,2,Alcohol,ALC,2020,2020,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,8.1,11,9.4,11,733406,8.6
Incidence,AK,Alaska,2,Alcohol,ALC,2021,2021,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,7.6,9.9,8.7,11,733406,8.6
Incidence,AK,Alaska,2,Alcohol,ALC,2022,2022,OVERALL,OVR,heavy drinking among adults aged >= 18 years,ALC5_1,Crude Prevalence,CRDPREV,%,,,8.6,11,733406,8.6
Incidence,AK,Alaska,2,Arthritis,ART,2011,2011,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,19.6,23,21.3,11,733406,22.57
Incidence,AK,Alaska,2,Arthritis,ART,2012,2012,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,20.9,24.2,22.5,11,733406,22.57
Incidence,AK,Alaska,2,Arthritis,ART,2013,2013,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,21.1,24.4,22.7,11,733406,22.57
Incidence,AK,Alaska,2,Arthritis,ART,2014,2014,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,20.4,23.5,21.9,11,733406,22.57
Incidence,AK,Alaska,2,Arthritis,ART,2015,2015,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,19.3,23.2,21.2,11,733406,22.57
Incidence,AK,Alaska,2,Arthritis,ART,2016,2016,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,21.5,26.4,23.9,11,733406,22.57
Incidence,AK,Alaska,2,Arthritis,ART,2017,2017,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,20.2,24.6,22.3,11,733406,22.57
Incidence,AK,Alaska,2,Arthritis,ART,2018,2018,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,21.5,25.6,23.5,11,733406,22.57
Incidence,AK,Alaska,2,Arthritis,ART,2019,2019,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,19.6,23.7,21.6,11,733406,22.57
Incidence,AK,Alaska,2,Arthritis,ART,2020,2020,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,19.7,23.5,21.6,11,733406,22.57
Incidence,AK,Alaska,2,Arthritis,ART,2021,2021,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,21.9,25,23.4,11,733406,22.57
Incidence,AK,Alaska,2,Arthritis,ART,2022,2022,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,,,22.57,11,733406,22.57
Incidence,AK,Alaska,2,Asthma,AST,2011,2011,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7,9.5,8.2,11,733406,9.14
Incidence,AK,Alaska,2,Asthma,AST,2012,2012,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.9,10.3,9,11,733406,9.14
Incidence,AK,Alaska,2,Asthma,AST,2013,2013,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,8,10.7,9.3,11,733406,9.14
Incidence,AK,Alaska,2,Asthma,AST,2014,2014,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7,9.4,8.1,11,733406,9.14
Incidence,AK,Alaska,2,Asthma,AST,2015,2015,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.7,11.1,9.2,11,733406,9.14
Incidence,AK,Alaska,2,Asthma,AST,2016,2016,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.2,10.6,8.8,11,733406,9.14
Incidence,AK,Alaska,2,Asthma,AST,2017,2017,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,6.9,10.3,8.4,11,733406,9.14
Incidence,AK,Alaska,2,Asthma,AST,2018,2018,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.8,10.8,9.2,11,733406,9.14
Incidence,AK,Alaska,2,Asthma,AST,2019,2019,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,8.2,11.8,9.9,11,733406,9.14
Incidence,AK,Alaska,2,Asthma,AST,2020,2020,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.4,10.5,8.9,11,733406,9.14
Incidence,AK,Alaska,2,Asthma,AST,2021,2021,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.9,10.2,9,11,733406,9.14
Incidence,AK,Alaska,2,Asthma,AST,2022,2022,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,,,9.14,11,733406,9.14
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2011,2011,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.7,3.1,2.3,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2012,2012,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.7,2.8,2.2,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2013,2013,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.3,2.3,1.7,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2014,2014,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.6,2.9,2.1,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2015,2015,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.3,2.6,1.8,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2016,2016,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.5,3.4,2.3,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2017,2017,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.4,2.8,2,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2018,2018,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.9,3.4,2.5,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2019,2019,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.4,2.5,1.8,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2020,2020,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.4,2.5,1.9,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2021,2021,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,2,3,2.5,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Kidney Disease,CKD,2022,2022,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,,,2.2,11,733406,2.2
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2011,2011,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.3,6.3,5.2,11,733406,5.29
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2012,2012,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.3,6,5.1,11,733406,5.29
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2013,2013,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.6,6.6,5.5,11,733406,5.29
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2014,2014,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,3.7,5.3,4.4,11,733406,5.29
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2015,2015,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,3.2,5.1,4,11,733406,5.29
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2016,2016,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.7,7.6,6,11,733406,5.29
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2017,2017,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.3,7.3,5.6,11,733406,5.29
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2018,2018,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.8,7.1,5.9,11,733406,5.29
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2019,2019,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,3.7,5.6,4.6,11,733406,5.29
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2020,2020,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,3.8,5.6,4.6,11,733406,5.29
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2021,2021,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.9,6.6,5.7,11,733406,5.29
Incidence,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2022,2022,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,,,5.29,11,733406,5.29
Incidence,AK,Alaska,2,Diabetes,DIA,2011,2011,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,6.6,9.4,7.9,11,733406,8.11
Incidence,AK,Alaska,2,Diabetes,DIA,2012,2012,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,6,8.1,7,11,733406,8.11
